Ticker,Description,Last,Volume,Market Capitalization,Sector,Industry,Exchange
WM,WALLBRIDGE MINING COMPANY LTD,0.56,536458,473528000,Non-Energy Minerals,Other Metals/Minerals,TSX
WMD,WEEDMD INC,0.305,524412,67283800,Process Industries,Agricultural Commodities/Milling,TSXV
WPRT,WESTPORT FUEL SYSTEMS INC,8.13,353435,1200530000,Producer Manufacturing,Trucks/Construction/Farm Machinery,TSX
WRN,WESTERN COPPER AND GOLD CORP,1.64,183621,215919000,Non-Energy Minerals,Other Metals/Minerals,TSX
XBC,XEBEC ADSORPTION INC,4.69,537529,417838000,Producer Manufacturing,Industrial Machinery,TSX
XLY,AUXLY CANNABIS GROUP INC,0.365,549882,250799000,Process Industries,Agricultural Commodities/Milling,TSXV
YGR,YANGARRA RESOURCES LTD,1.15,202778,94771500,Energy Minerals,Oil & Gas Production,TSX
YRI,YAMANA GOLD INC,5.68,1815912,5600160000,Non-Energy Minerals,Precious Metals,TSX
ZAIR,ZINC8 ENERGY SOLUT,0.6,160322,57230000,Producer Manufacturing,Electrical Products,CSE
ZEN,ZEN GRAPHENE SOLUTIONS LTD,1.99,369765,151403000,Non-Energy Minerals,Other Metals/Minerals,TSXV
