Ticker,Description,Last,Volume,Market Capitalization,Sector,Industry,Exchange
MIN,EXCELSIOR MINING CORP,0.78,153274,182579000,Non-Energy Minerals,Other Metals/Minerals,TSX
MKO,MAKO MINING CORP,0.35,121200,239488000,Non-Energy Minerals,Other Metals/Minerals,TSXV
MMEN,MEDMEN ENTERPRISES,0.4,737696,233605000,Health Technology,Pharmaceuticals: Other,CSE
MNO,MERIDIAN MINING SOCIETAS EUROPAEA,0.445,217963,50824300,Non-Energy Minerals,Other Metals/Minerals,TSXV
MOGO,MOGO INC,10.89,464528,671491000,Finance,Finance/Rental/Leasing,TSX
MOVE,CLEAN POWER CAPITA,1.43,108693,416523000,Finance,Financial Conglomerates,CSE
MOZ,MARATHON GOLD CORPORATION,2.4,410356,534297000,Non-Energy Minerals,Precious Metals,TSX
MPVD,MOUNTAIN PROVINCE DIAMONDS INC,0.53,115997,107350000,Non-Energy Minerals,Other Metals/Minerals,TSX
MRE,MARTINREA INTERNATIONAL INC.,12.74,214839,1011710000,Producer Manufacturing,Metal Fabrication,TSX
MRS,MISSION READY SOLUTIONS INC,0.66,607780,133514000,Electronic Technology,Aerospace & Defense,TSXV
MTL,MULLEN GROUP LTD.,12.17,167621,1175780000,Transportation,Trucking,TSX
MTRX,LOOP INSIGHTS INC,1.53,366886,196098000,Technology Services,Data Processing Services,TSXV
MUX,MCEWEN MINING INC,1.415,151558,662906397.75,Non-Energy Minerals,Precious Metals,TSX
MVMD,MOUNTAIN VALLEY MD,1.06,781324,254560000,Process Industries,Agricultural Commodities/Milling,CSE
MVY,MOOVLY MEDIA INC,0.5,470798,79036400,Non-Energy Minerals,Other Metals/Minerals,TSXV
MX,METHANEX CORP,48.64,129738,3676340000,Process Industries,Chemicals: Specialty,TSX
N,NAMASTE TECHNOLOGIES INC,0.255,977454,84193200,Retail Trade,Specialty Stores,TSXV
NB,NIOCORP DEVELOPMENTS LTD,1.42,136150,341309000,Non-Energy Minerals,Other Metals/Minerals,TSX
NBY,NIOBAY METALS INC,0.74,122429,54284800,Non-Energy Minerals,Other Metals/Minerals,TSXV
NC,NETCENTS TECHNOLOG,0.91,857324,87453700,Commercial Services,Miscellaneous Commercial Services,CSE
NCAU,NEWCORE GOLD LTD,0.61,218838,61377000,Non-Energy Minerals,Other Metals/Minerals,TSXV
NDA,NEPTUNE DIGITAL ASSETS CORP,1.1,26043772,174423000,Technology Services,Packaged Software,TSXV
NDM,NORTHERN DYNASTY MINERALS LTD.,0.77,257517,386238555.9,Non-Energy Minerals,Other Metals/Minerals,TSX
NEPT,NEPTUNE WELLNESS SOLUTIONS INC,1.56,157800,269754000,Health Technology,Biotechnology,TSX
NEXE,NEXE INNOVATIONS INC,1.64,655849,121209000,Producer Manufacturing,Miscellaneous Manufacturing,TSXV
NEXT,NEXTSOURCE MATERIALS INC,0.36,2069365,293523000,Non-Energy Minerals,Other Metals/Minerals,TSX
NFG,NEW FOUND GOLD CORP,4.71,148186,403890000,Non-Energy Minerals,Precious Metals,TSXV
NFI,NFI GROUP INC,28.93,471690,2005030000,Producer Manufacturing,Trucks/Construction/Farm Machinery,TSX
NG,NOVAGOLD RES INC.,11.76,111453,3926270000,Non-Energy Minerals,Precious Metals,TSX
NGD,NEW GOLD INC.,2.25,1070006,1544730000,Non-Energy Minerals,Precious Metals,TSX
NGW,NEXT GREEN WAVE HO,0.8,157951,144948000,Finance,Financial Conglomerates,CSE
NHHH,FUELPOSITIVE CORPORATION,0.3,270003,55124200,Consumer Durables,Motor Vehicles,TSXV
NLC,NEO LITHIUM CORP,2.72,672360,371437000,Process Industries,Chemicals: Agricultural,TSXV
NNO,NANO ONE MATERIALS CORP,4.85,269552,388474000,Producer Manufacturing,Electrical Products,TSXV
NOU,NOUVEAU MONDE GRAPHITE INC,12.25,291262,332464000,Non-Energy Minerals,Other Metals/Minerals,TSXV
NSR,NOMAD ROYALTY COMPANY LTD,0.96,150790,543710000,Distribution Services,Wholesale Distributors,TSX
NUMI,NUMINUS WELLNESS INC,0.95,654843,131401000,Health Services,Medical/Nursing Services,TSXV
NVA,NUVISTA ENERGY LTD.,2.29,836088,501374000,Energy Minerals,Oil & Gas Production,TSX
NVO,NOVO RESOURCES CORP,2.43,1368110,654203000,Non-Energy Minerals,Other Metals/Minerals,TSX
NWC,THE NORTH WEST COMPANY INC,36,108483,1777860000,Retail Trade,Specialty Stores,TSX
NWH.UN,NORTHWEST HEALTHCARE PROP REIT,13.02,256711,2552670000,Finance,Real Estate Investment Trusts,TSX
NXE,NEXGEN ENERGY LTD,4.67,995612,1771050000,Non-Energy Minerals,Other Metals/Minerals,TSX
NXO,NEXOPTIC TECHNOLOGY CORP,0.37,759702,57445400,Electronic Technology,Electronic Components,TSXV
OCO,OROCO RESOURCE CORP.,2.15,167710,389697000,Non-Energy Minerals,Precious Metals,TSXV
OGC,OCEANAGOLD CORPORATION,2.05,771013,1485420000,Non-Energy Minerals,Precious Metals,TSX
OGI,ORGANIGRAM HOLDINGS INC,3.24,5139923,863433000,Process Industries,Agricultural Commodities/Milling,TSX
OGO,ORGANTO FOODS INC,0.35,293931,77928900,Process Industries,Agricultural Commodities/Milling,TSXV
OLA,ORLA MINING LTD,4.69,250812,1122470000,Non-Energy Minerals,Precious Metals,TSX
ONC,ONCOLYTICS BIOTECH INC,3.86,223685,209493000,Health Technology,Biotechnology,TSX
OR,OSISKO GOLD ROYALTIES LTD,14.97,175719,2544150000,Non-Energy Minerals,Precious Metals,TSX
ORE,OREZONE GOLD CORPORATION,0.94,195531,242547000,Non-Energy Minerals,Precious Metals,TSXV
ORG,ORCA GOLD INC,0.55,106091,132136000,Non-Energy Minerals,Precious Metals,TSXV
